"Fahrzeugmodell";"Marke";"Markenindikator";"Modellfamilie";"Markteinführung weltweit";"Modelljahr";"Entwicklungstyp";"Modellstatus";"Fahrzeugsegment";"Karosserieart";"Karosserieart-Spezifikation";"Antriebsart";"Fahrzeugprojekt";"Beschränkung";"UUID";"Schwestermodell";"Schwestermodell";"Modellausführung";"Basisfahrzeug"
"Chery J1 (2012)";"Chery";"Economy";;"01.01.2011";"2012";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"b9119e3f-85f9-4676-8c77-2e24a7e1cce9";;"Chery A1 (2007)";;
"Chery J11 (2014)";"Chery";"Economy";;"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"18af6755-28cc-43ba-9260-b3aac5505a9e";"Chery Tiggo (2014)";;;
"Chery J2 (2014)";"Chery";"Economy";;"01.08.2013";"2014";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"51a9f32d-2182-4f2d-8f86-98e6f3fb3f7c";;"Chery Celer Hatchback (2013)|Chery Very (2013)|ZAZ Forza Hatchback (2011)";;
"Chery J3 (2014)";"Chery";"Economy";"Chery A3";"01.01.2013";"2004";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"7759a93a-885b-4922-a7ea-0fb599ddc29a";"Chery A3 Hatchback (2009)";;;
"Chery Karry Higgo (2016)";"Chery";"Economy";;"01.07.2015";"2016";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"aa83af78-69b3-4f61-8607-5a8930bd5d28";;;;
"Chery M11 Hatchback (2014)";"Chery";"Economy";"Chery M11";"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"45bcf55f-46ad-41ee-99f7-4d93b3c03f84";"Chery A3 Hatchback (2009)";;;
"Chery M11 Sedan (2014)";"Chery";"Economy";"Chery M11";"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"cea5d8ae-278a-4211-8ca7-ea793b7d685b";"Chery A3 Sedan (2009)";"Chery Skin (2014)";;
"Chery M16 (2015)";"Chery";"Economy";;"01.10.2014";"2015";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"1b637f3e-0f6c-4bb0-98db-e76bc729572a";;"Chery Arrizo 7 (2014)";;
"Chery Omoda 5 (2023)";"Chery";"Economy";;"01.06.2022";"2023";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Fastback";"ICE";;"Keine";"80e7d194-c60e-48a8-87f2-44ed11e07fdc";"Omoda C5 (2023)";;;
"Chery QQ (2014)";"Chery";"Economy";;"01.03.2013";"2014";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"12c50429-1998-45ba-a7b0-6674d5642732";;;"Chery eQ (2015)";
"Chery QQ Ice Cream (2022)";"Chery";"Economy";;"28.12.2021";"2022";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"9e8c39d7-d7bc-420d-84c3-751772df4385";;;;
"Chery QQ Wujie Pro (2023)";"Chery";"Economy";;"01.11.2022";"2023";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"70ad8207-c199-46ad-a7f7-6e1658e402c1";;;;
"Chery QQ3 (2004)";"Chery";"Economy";"Chery QQ3";"31.05.2003";"2004";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"e4040149-56a6-47d8-8995-2dc5ecc30966";;;;
"Chery QQ3 (2013)";"Chery";"Economy";"Chery QQ3";"09.01.2012";"2013";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"60172978-b15b-455f-8959-4638ac413cba";;;;
"Chery QQ6 (2007)";"Chery";"Economy";;"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Sedan";;"ICE";;"Keine";"de918fb8-b299-4d87-bb4e-88140be8b923";;;;
"Chery Skin (2014)";"Chery";"Economy";;"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"9be9bc43-ca27-4ab2-86a7-69831c3cdc03";"Chery A3 Sedan (2009)|Chery M11 Sedan (2014)";;;
"Chery Tansuo 06 / TJ-1 (2024)";"Chery";"Economy";;"01.07.2023";"2024";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Robust";"PHEV";;"Keine";"3a7cb1f9-749d-4014-8ca4-4242d76fdaa1";"Jaecoo 7 (2024)";;;
"Chery Tiggo (2006)";"Chery";"Economy";"Chery Tiggo";"01.01.2005";"2006";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";;"ICE";;"Keine";"25e0572c-3906-4c61-92e9-c1b23d672778";;;;
"Chery Tiggo (2014)";"Chery";"Economy";"Chery Tiggo";"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"f8fd7882-241f-47d6-9d91-0a692c8f8d4b";;"Chery J11 (2014)";;
"Chery Tiggo 2 (2017)";"Chery";"Economy";"Chery Tiggo 2";"01.11.2016";"2017";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"344c15ef-4e6c-4cb1-9ba7-d2b0c308a7ea";;"Chery Tiggo 3X (2017)";;
"Chery Tiggo 2e (2020)";"Chery";"Economy";"Chery Tiggo 2";"01.05.2019";"2020";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"bacd1209-6db3-4e51-9e4a-a6a2abb06a64";;;;
"Chery Tiggo 3 (2015)";"Chery";"Economy";"Chery Tiggo 3";"15.05.2014";"2015";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"eaa3a917-b51b-4cad-8333-a76ca58f133b";;;;
"Chery Tiggo 3 (2020)";"Chery";"Economy";"Chery Tiggo 3";"01.01.2020";"2020";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"6b6e5d40-42f9-4b0d-b6c3-a6d10ecc34ae";;;;
"Chery Tiggo 3X (2017)";"Chery";"Economy";"Chery Tiggo 3";"15.11.2016";"2017";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"54ab044b-9534-45cc-8d90-015ecfdc125e";"Chery Tiggo 2 (2017)";;"Chery Tiggo 3XE 400 (2018)";
"Chery Tiggo 3X Plus (2022)";"Chery";"Economy";"Chery Tiggo 3";"01.05.2021";"2022";"Facelift";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"aca1f6a1-66e4-4a70-a38d-d493c8e2444d";;;;
"Chery Tiggo 3XE 400 (2018)";"Chery";"Economy";"Chery Tiggo 3";"01.04.2018";"2018";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"a58c564b-157c-46ea-a0df-9efdd664c009";;;;"Chery Tiggo 3X (2017)"
"Chery Tiggo 5 (2014)";"Chery";"Economy";"Chery Tiggo 5";"28.11.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"324f436d-3909-4cdc-85b8-f58843397a25";;;;
"Chery Tiggo 5 (2016)";"Chery";"Economy";"Chery Tiggo 5";"27.10.2015";"2016";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"e70f9dde-b259-4193-adee-6dbdc787f7b2";"Cowin X5 (2018)";;;
"Chery Tiggo 5 e (2020)";"Chery";"Economy";"Chery Tiggo 5";"01.05.2019";"2020";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"d6dafb11-79a2-47f7-b0c6-a4fcd4c8379f";;;;"Chery Tiggo 5X (2018)"
"Chery Tiggo 5X (2018)";"Chery";"Economy";"Chery Tiggo 5";"01.08.2017";"2018";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"d76c1b10-3f14-47c7-b88e-2cf08816346b";;;"Chery Tiggo 5 e (2020)";
"Chery Tiggo 5X (2021)";"Chery";"Economy";"Chery Tiggo 5";"16.07.2020";"2021";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"740f5e64-a6a0-4b90-8132-99bc379c7b8c";;;;
"Chery Tiggo 7 (2017)";"Chery";"Economy";"Chery Tiggo 7";"12.09.2016";"2017";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"3c89624c-da4c-4eed-8471-c06d96aa34a3";;;;
"Chery Tiggo 7 (2020)";"Chery";"Economy";"Chery Tiggo 7";"15.01.2020";"2020";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"78607a9a-dc01-4219-aabf-b83ac8ee6683";;;;
"Chery Tiggo 7 Plus (2020)";"Chery";"Economy";"Chery Tiggo 7";"15.01.2020";"2020";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"7de347d7-4c20-4d4f-aac9-fcbb31187c40";;;;
"Chery Tiggo 7 Plus (2023)";"Chery";"Economy";"Chery Tiggo 7";"07.11.2022";"2023";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"0ce17dab-74f9-459f-b490-9f6d9ca5d0a6";;;"Chery Tiggo 7 Plus PHEV (2023)";
"Chery Tiggo 7 Plus PHEV (2023)";"Chery";"Economy";"Chery Tiggo 7";"01.01.2023";"2023";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"1b69b0b7-5767-442f-89f5-2c2ec0c4d03c";;;;"Chery Tiggo 7 Plus (2023)"
"Chery Tiggo 8 (2018)";"Chery";"Economy";"Chery Tiggo 8";"01.04.2018";"2018";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"469a529d-c970-403e-95c0-8701795cd891";;;;
"Chery Tiggo 8 Plus (2021)";"Chery";"Economy";"Chery Tiggo 8";"01.01.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"b537bd67-a443-4fe9-9538-1b7deb032ca9";;;"Chery Tiggo 8 Plus PHEV (2022)";
"Chery Tiggo 8 Plus PHEV (2022)";"Chery";"Economy";"Chery Tiggo 8";"01.01.2022";"2022";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"ad6ad07f-fc14-4298-8242-c6012810e37c";;;;"Chery Tiggo 8 Plus (2021)"
"Chery Tiggo 9 (2024)";"Chery";"Economy";;"01.05.2023";"2024";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"51ed5596-97da-43de-8c5b-e13f0c247253";;;;
"Chery Very (2013)";"Chery";"Economy";;"01.11.2012";"2013";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"72abdf14-a1c0-4c17-8f81-794e23595c18";"Chery Fulwin 2 Hatchback (2013)|Chery J2 (2014)|ZAZ Forza Hatchback (2011)";"Chery Celer Hatchback (2013)";;
"Chevrolet Agile (2010)";"Chevrolet";"Volume";"Chevrolet Agile";"01.01.2009";"2010";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"79db6b8c-b7eb-45d0-8672-015d81ab4d6f";;;;
"Chevrolet Agile (2014)";"Chevrolet";"Volume";"Chevrolet Agile";"01.01.2013";"2014";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"645da742-55b9-440e-a993-cf0bbb51de5b";;;;
"Chevrolet Astra Hatchback (1999)";"Chevrolet";"Volume";"Chevrolet Astra";"01.01.1998";"1999";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"cc2e7db8-06ab-4ceb-916d-4ea8b8d75fda";;"Opel Astra Kurzheck (1998)";;
"Chevrolet Astra Sedan (1999)";"Chevrolet";"Volume";"Chevrolet Astra";"01.01.1998";"1999";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"befff512-a31f-42cc-8bbf-66ebf6b43213";;;;
"Chevrolet Avalanche (2008)";"Chevrolet";"Volume";"Chevrolet Avalanche";"01.01.2007";"2008";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Pickup";;"ICE";;"Keine";"f4f08504-fcec-4ea7-bffc-c7994c398b9c";;;;
"Chevrolet Aveo Hatchback (2003)";"Chevrolet";"Volume";"Chevrolet Aveo";"01.01.2002";"2003";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"fe8fa52c-8e60-420f-b90d-e04a64a3ccc0";;;;
"Chevrolet Aveo Hatchback (2009)";"Chevrolet";"Volume";"Chevrolet Aveo";"26.03.2008";"2009";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"2ab9c7a2-5461-4f22-a2bd-fffca210f6fd";"Daewoo Gentra X (2009)|Holden Barina (2009)|ZAZ Vida Hatchback (2013)";;;
"Chevrolet Aveo Hatchback (2012)";"Chevrolet";"Volume";"Chevrolet Aveo";"01.01.2011";"2012";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"2d5938ce-e3fc-4707-88ce-2a5148557415";"Chevrolet Sonic Hatchback (2012)|Holden Barina (2012)";;;
"Chevrolet Aveo Hatchback (2024)";"Chevrolet";"Volume";"Chevrolet Aveo";"01.05.2023";"2024";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"0efc62b8-3ffe-4e80-bd91-d14b6f50fc97";;;;
"Chevrolet Aveo Hatchback - CN (2015)";"Chevrolet";"Volume";"Chevrolet Aveo";"06.06.2014";"2015";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"cfa47c70-b525-45ac-9a71-8b174e8802ab";;;;
"Chevrolet Aveo Sedan (2006)";"Chevrolet";"Volume";"Chevrolet Aveo";"22.04.2005";"2006";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"2a3cc312-3ef8-4d6a-a130-3fe8278adbf6";"Chevrolet Lova (2007)|Daewoo Gentra (2009)|ZAZ Vida Limousine (2013)";;;
"Chevrolet Aveo Sedan (2012)";"Chevrolet";"Volume";"Chevrolet Aveo";"01.01.2011";"2012";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"ab1c70e0-c630-447a-ac1f-bf6df8cc885f";"Chevrolet Sonic Sedan (2012)|Holden Barina Sedan (2013)";;;
"Chevrolet Aveo Sedan (2024)";"Chevrolet";"Volume";"Chevrolet Aveo";"01.05.2023";"2024";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"c7f04666-e7ff-4e16-b02e-3aa7e53e4bba";;;;
"Chevrolet Aveo Sedan - CN (2015)";"Chevrolet";"Volume";"Chevrolet Aveo";"06.06.2014";"2015";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"d8f1ddd3-afba-4351-bb02-af1fa38b9d2c";;;;
"Chevrolet Beat (2011)";"Chevrolet";"Volume";"Chevrolet Beat";"04.01.2010";"2011";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"ef017b9a-43ed-4879-8d0a-e5b285679970";"Chevrolet Spark (2011)|Daewoo Matiz (2011)|Holden Barina Spark (2011)";;;
"Chevrolet Blazer (2019)";"Chevrolet";"Volume";"Chevrolet Blazer";"15.02.2019";"2019";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"c6f8a0f0-6bf5-4223-82aa-68c6f43ba5f7";;;;
"Chevrolet Blazer (2023)";"Chevrolet";"Volume";"Chevrolet Blazer";"01.07.2022";"2023";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"bd99bcc2-2b95-4e50-aac3-5a2f474f48d0";;;;
"Chevrolet Blazer EV (2024)";"Chevrolet";"Volume";"Chevrolet Blazer";"01.08.2023";"2024";"Neuentwicklung";"geplant";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"00d74930-3ab2-4a28-9c44-059e96d1d073";;;;
"Chevrolet Bolt (2017)";"Chevrolet";"Volume";"Chevrolet Bolt";"01.11.2016";"2017";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"5082ca78-ea0c-4193-8f21-b46352aefb25";;;;
"Chevrolet Bolt EUV (2022)";"Chevrolet";"Volume";"Chevrolet Bolt";"01.08.2021";"2022";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"806c1ae4-8916-4eff-9acd-01669116da5a";;;;
"Chevrolet Bolt EV (2022)";"Chevrolet";"Volume";"Chevrolet Bolt";"01.08.2021";"2022";"Facelift";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"1d348b50-1281-46e4-b1f8-ac39997f1b4f";;;;
"Chevrolet Camaro Convertible (2010)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.01.2009";"2010";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"c266897d-a3bb-46de-b8b0-d50d116f94c6";;;;
"Chevrolet Camaro Convertible (2014)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.01.2013";"2014";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"8ce8a3d3-e2ec-4948-8570-a451fd4455e7";;;;
"Chevrolet Camaro Convertible (2016)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.12.2015";"2016";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"9221c739-b3d7-494d-bb74-30a244400ecb";;;"Chevrolet Camaro ZL1 Convertible (2017)";
"Chevrolet Camaro Convertible (2019)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.08.2018";"2019";"Facelift";"aktuell";"B (Mittelklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"76fc99e4-e0d1-48c1-93b8-b710174e8173";;;;
"Chevrolet Camaro Coupe (2010)";"Chevrolet";"Volume";"Chevrolet Camaro";"16.03.2009";"2010";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"12411150-e0cb-4a77-b3c4-54ec59eea118";;;;
"Chevrolet Camaro Coupe (2014)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.01.2013";"2014";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"d00394ab-1cbf-4f17-8877-b028426f2947";;;;
"Chevrolet Camaro Coupe (2016)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.12.2015";"2016";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"00dcf605-5c59-4a7c-9152-52e82c0bdae5";;;"Chevrolet Camaro ZL1 Coupe (2017)";
"Chevrolet Camaro Coupe (2019)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.08.2018";"2019";"Facelift";"aktuell";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"5ff83632-aaf4-4f67-a627-f07df0f9e718";;;;
"Chevrolet Camaro ZL1 Convertible (2017)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.08.2016";"2017";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"4ad23c17-b54c-4488-af52-837b19170e7a";;;;"Chevrolet Camaro Convertible (2016)"
"Chevrolet Camaro ZL1 Coupe (2017)";"Chevrolet";"Volume";"Chevrolet Camaro";"01.08.2016";"2017";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"d3bd3e07-30e0-474d-9856-d699e249afb2";;;;"Chevrolet Camaro Coupe (2016)"
"Chevrolet Caprice (2007)";"Chevrolet";"Volume";"Chevrolet Caprice";"01.11.2006";"2007";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"b62e83a8-8c06-4064-9e67-f39ce093c03f";"Buick Park Avenue (2008)|Daewoo Veritas (2009)|Holden Statesman (2007)";;;
"Chevrolet Captiva (2007)";"Chevrolet";"Volume";"Chevrolet Captiva";"03.03.2006";"2007";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";;"ICE";;"Keine";"fe24f69d-94e1-497e-a476-7b15d34ce154";"Daewoo Winstorm (2007)";;;
"Chevrolet Captiva (2012)";"Chevrolet";"Volume";"Chevrolet Captiva";"01.01.2011";"2012";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";;"ICE";;"Keine";"351264e5-7ae1-4799-9246-10bc7ad7f289";"Holden Captiva (2012)";;;
"Chevrolet Captiva (2017)";"Chevrolet";"Volume";"Chevrolet Captiva";"01.04.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"7602a618-928c-41e0-976a-83714cefc8f3";;;;
"Chevrolet Cavalier (2017)";"Chevrolet";"Volume";"Chevrolet Cavalier";"02.09.2016";"2017";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"dc4e7614-689f-41d8-af43-326885b07885";;;;
"Chevrolet Cavalier (2019)";"Chevrolet";"Volume";"Chevrolet Cavalier";"01.05.2018";"2019";"Facelift";"aktuell";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"4d5924be-61e0-4170-974b-afe749181c19";;;;
"Chevrolet Celta (2006)";"Chevrolet";"Volume";"Chevrolet Celta";"01.01.2005";"2006";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"04bf711c-73d1-438a-916c-641104ba9bfc";"Suzuki Fun (2001)";;;
"Chevrolet Chevy Hatchback (1995)";"Chevrolet";"Volume";"Chevrolet Chevy";"01.01.1994";"1995";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"f92ff050-8936-4370-97de-9e1cacc20b43";;"Chevrolet Corsa Hatchback (2001)|Opel Corsa (1994)";;
"Chevrolet Chevy Sedan (1995)";"Chevrolet";"Volume";"Chevrolet Chevy";"01.01.1994";"1995";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";;"ICE";;"Keine";"e796a97e-33a0-4e32-a500-3fc2804764f4";;"Chevrolet Corsa Classic (2001)|Chevrolet Prisma (2007)";;
"Chevrolet Classic Sedan (2011)";"Chevrolet";"Volume";"Chevrolet Classic";"01.01.2010";"2011";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";;"ICE";;"Keine";"efc82b85-9cf6-4b3a-b763-1b775f35db37";;;;
"Chevrolet Classic Wagon (2011)";"Chevrolet";"Volume";"Chevrolet Classic";"01.01.2010";"2011";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Estate";;"ICE";;"Keine";"bc3a01d9-df7a-4db9-bdfd-8cc780c3a4c8";;;;
"Chevrolet Cobalt Coupe (2005)";"Chevrolet";"Volume";"Chevrolet Cobalt";"01.01.2004";"2005";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Coupe";;"ICE";;"Keine";"69873046-f0af-4494-8e87-e01a43e24c3a";;;;
"Chevrolet Cobalt Limousine (2005)";"Chevrolet";"Volume";"Chevrolet Cobalt";"01.01.2004";"2005";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"a7b98d5f-0c9a-4b91-9141-f64096def118";;;;
"Chevrolet Cobalt Limousine (2017)";"Chevrolet";"Volume";"Chevrolet Cobalt";"01.05.2016";"2017";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"13e70213-3677-4248-bdec-91c01468e41e";;;;
"Chevrolet Cobalt Limousine - BR/RU (2014)";"Chevrolet";"Volume";"Chevrolet Cobalt";"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"94c5a196-59a4-4ee8-adc1-366a483ecdbb";;;;
"Chevrolet Colorado (2005)";"Chevrolet";"Volume";"Chevrolet Colorado";"01.01.2004";"2005";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"e7085bc0-740f-41dd-943d-eaa1451e1e6f";"GMC Canyon (2005)";;;
"Chevrolet Colorado (2013)";"Chevrolet";"Volume";"Chevrolet Colorado";"01.01.2012";"2013";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"dc825a06-449a-4fac-b79e-4bc84eb28072";"Holden Colorado Pickup (2013)";;;
"Chevrolet Colorado (2015)";"Chevrolet";"Volume";"Chevrolet Colorado";"01.08.2014";"2015";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"46980288-d547-4c53-80d0-867d6b2d7360";"GMC Canyon (2015)";;;
"Chevrolet Colorado (2023)";"Chevrolet";"Volume";"Chevrolet Colorado";"01.04.2023";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"f8f5fbee-4f88-48db-af9a-c34385e277b7";"GMC Canyon (2023)";;;
